config	inst	time	count	best	spr	hv	gd	
NSGANE	I0	470868	80	0.0219	0.5162	0.3334	0.0003	
NSGANE	I0	471678	80	0.0219	0.4343	0.3341	0.0003	
NSGANE	I0	374959	80	0.0211	0.4552	0.3322	0.0004	
NSGANE	I0	376048	80	0.0211	0.5108	0.3325	0.0003	
NSGANE	I0	370061	80	0.0169	0.4588	0.3331	0.0004	
NSGANE	I0	366525	80	0.0160	0.4326	0.3301	0.0004	
NSGANE	I0	369233	80	0.0177	0.3843	0.3342	0.0004	
NSGANE	I0	367526	80	0.0186	0.4809	0.3330	0.0004	
NSGANE	I0	369765	80	0.0211	0.4567	0.3332	0.0004	
NSGANE	I0	368488	80	0.0186	0.4875	0.3313	0.0003	
NSGANE	I0	367130	80	0.0169	0.4557	0.3331	0.0004	
NSGANE	I0	369164	80	0.0219	0.4014	0.3331	0.0003	
NSGANE	I0	366822	80	0.0270	0.4550	0.3324	0.0003	
NSGANE	I0	368822	80	0.0143	0.4811	0.3332	0.0003	
NSGANE	I0	370744	80	0.0312	0.5009	0.3335	0.0002	
NSGANE	I0	368189	80	0.0211	0.4415	0.3329	0.0003	
NSGANE	I0	368199	80	0.0152	0.4642	0.3336	0.0004	
NSGANE	I0	370006	80	0.0194	0.4351	0.3332	0.0003	
NSGANE	I0	367918	80	0.0169	0.4167	0.3336	0.0003	
NSGANE	I0	368315	80	0.0186	0.3940	0.3342	0.0003	
NSGANE	I0	370986	80	0.0194	0.4539	0.3335	0.0003	
NSGANE	I0	370433	80	0.0203	0.4710	0.3324	0.0004	
NSGANE	I0	368594	80	0.0228	0.4889	0.3335	0.0002	
NSGANE	I0	368430	80	0.0211	0.4912	0.3317	0.0004	
NSGANE	I0	368588	80	0.0194	0.4820	0.3332	0.0003	
NSGANE	I0	367487	80	0.0211	0.4643	0.3326	0.0003	
NSGANE	I0	369127	80	0.0169	0.4848	0.3325	0.0004	
NSGANE	I0	370475	80	0.0236	0.4604	0.3340	0.0003	
NSGANE	I0	368430	80	0.0194	0.4807	0.3318	0.0004	
NSGANE	I0	369709	80	0.0219	0.4177	0.3331	0.0004	
